epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1992.35,1.26467,4.72714,1.0137,0.01285,0.05317,0.01007,0.0085,0.71947,3.49711,0.85363,5.94457e-05,5.94457e-05,5.94457e-05
2,5390.02,0.82681,2.96322,0.87215,0.18718,0.02578,0.02421,0.02121,0.60768,2.29644,0.83362,0.000115182,0.000115182,0.000115182
3,9498.34,0.73396,2.09025,0.857,0.32417,0.02242,0.03837,0.03388,0.55938,1.58633,0.82381,0.00016698,0.00016698,0.00016698
4,13343.6,0.66571,1.51151,0.84366,0.58003,0.02772,0.04875,0.04392,0.50738,1.05044,0.81556,0.000161279,0.000161279,0.000161279
5,19550.9,0.62916,1.19263,0.84039,0.65987,0.02844,0.06742,0.06184,0.49058,0.86997,0.8132,0.000155372,0.000155372,0.000155372
6,23379.3,0.5967,1.00792,0.83412,0.69443,0.05866,0.10201,0.09305,0.46831,0.76339,0.81096,0.000149465,0.000149465,0.000149465
7,1947.41,0.58089,0.89757,0.83265,0.79781,0.10102,0.14541,0.13228,0.46241,0.61115,0.80926,0.000143558,0.000143558,0.000143558
8,4917.94,0.56211,0.80658,0.82844,0.88993,0.39745,0.43296,0.39048,0.47464,0.56476,0.81008,0.000137651,0.000137651,0.000137651
9,1841.84,0.53695,0.70657,0.82456,0.86581,0.18183,0.23677,0.21578,0.45575,0.52111,0.80721,0.000131744,0.000131744,0.000131744
10,4537.9,0.52361,0.65894,0.82145,0.91785,0.59706,0.63123,0.57244,0.45549,0.49574,0.8057,0.000125837,0.000125837,0.000125837
11,7267.18,0.53154,0.68258,0.8241,0.91733,0.41205,0.45174,0.40891,0.46169,0.46042,0.80689,0.00011993,0.00011993,0.00011993
12,10468.2,0.51814,0.64255,0.82074,0.90965,0.43921,0.48106,0.44341,0.41364,0.43971,0.79978,0.000114023,0.000114023,0.000114023
13,13781.4,0.51089,0.61256,0.82035,0.92365,0.41597,0.47022,0.42851,0.45351,0.42568,0.80561,0.000108116,0.000108116,0.000108116
14,16772.6,0.50433,0.5835,0.8177,0.92906,0.43511,0.48423,0.44637,0.41642,0.39461,0.79989,0.000102209,0.000102209,0.000102209
15,20205.7,0.50049,0.57889,0.81878,0.92516,0.36386,0.41541,0.37914,0.44214,0.40118,0.80431,9.6302e-05,9.6302e-05,9.6302e-05
16,23267,0.49344,0.56057,0.81652,0.93318,0.40257,0.45824,0.42384,0.40661,0.37609,0.79853,9.0395e-05,9.0395e-05,9.0395e-05
17,26649.3,0.49148,0.54692,0.81678,0.93262,0.38456,0.44937,0.41779,0.3947,0.36129,0.79672,8.4488e-05,8.4488e-05,8.4488e-05
18,29988.2,0.48548,0.53586,0.81581,0.93835,0.35462,0.42088,0.39101,0.39779,0.3497,0.79657,7.8581e-05,7.8581e-05,7.8581e-05
19,33445.6,0.48322,0.52482,0.81393,0.93662,0.35768,0.42692,0.39598,0.40302,0.346,0.79722,7.2674e-05,7.2674e-05,7.2674e-05
20,1896.42,0.46714,0.48781,0.81255,0.94497,0.50269,0.56171,0.52086,0.4007,0.33607,0.79759,6.6767e-05,6.6767e-05,6.6767e-05
21,4488.51,0.43297,0.40989,0.8065,0.94802,0.70397,0.73793,0.68453,0.39285,0.33181,0.79644,6.086e-05,6.086e-05,6.086e-05
22,6550.1,0.42074,0.39422,0.80465,0.95344,0.78845,0.81721,0.75753,0.39832,0.32306,0.79654,5.4953e-05,5.4953e-05,5.4953e-05
23,8439.82,0.41551,0.38434,0.80273,0.94944,0.81667,0.83939,0.78097,0.38638,0.31737,0.79462,4.9046e-05,4.9046e-05,4.9046e-05
24,10645.7,0.40967,0.37606,0.80202,0.9478,0.55133,0.61337,0.57221,0.38456,0.31313,0.79429,4.3139e-05,4.3139e-05,4.3139e-05
25,12878.3,0.40534,0.36912,0.80014,0.9496,0.53468,0.602,0.56274,0.37957,0.30667,0.79329,3.7232e-05,3.7232e-05,3.7232e-05
26,15157.2,0.40111,0.36329,0.8005,0.94812,0.52244,0.59067,0.55093,0.38718,0.30602,0.79437,3.1325e-05,3.1325e-05,3.1325e-05
27,17497.5,0.39662,0.35464,0.79926,0.95178,0.50476,0.57676,0.54021,0.37856,0.30113,0.7929,2.5418e-05,2.5418e-05,2.5418e-05
28,19884.9,0.39645,0.35178,0.79968,0.9465,0.50295,0.57581,0.53898,0.37643,0.30017,0.79268,1.9511e-05,1.9511e-05,1.9511e-05
29,22289.1,0.39279,0.34779,0.7988,0.94369,0.45799,0.54042,0.50715,0.37341,0.29847,0.79188,1.3604e-05,1.3604e-05,1.3604e-05
30,1391.07,0.38972,0.34292,0.7978,0.95741,0.73132,0.77622,0.72692,0.37225,0.29527,0.79175,7.697e-06,7.697e-06,7.697e-06
