epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5821.33,0.9343,2.84302,0.95245,0.6602,0.83307,0.79383,0.68782,0.55782,1.03042,0.8412,0.00332952,0.00332952,0.00332952
2,10778.9,0.6746,1.05723,0.86525,0.85999,0.91452,0.93801,0.81925,0.54517,0.62991,0.84152,0.00661888,0.00661888,0.00661888
3,14507.4,0.68113,0.78799,0.86838,0.90079,0.94471,0.95859,0.84487,0.51934,0.49572,0.83977,0.00986424,0.00986424,0.00986424
4,17623.5,0.64582,0.68129,0.86037,0.92502,0.97498,0.96883,0.86323,0.49434,0.41293,0.83168,0.009802,0.009802,0.009802
5,20618.1,0.59569,0.58987,0.84953,0.94139,0.98617,0.97772,0.88705,0.45576,0.34257,0.82037,0.009736,0.009736,0.009736
6,23685.5,0.56519,0.53306,0.84012,0.93725,0.97901,0.97685,0.89777,0.41465,0.32276,0.81187,0.00967,0.00967,0.00967
7,26648,0.54137,0.5001,0.83682,0.95213,0.98499,0.98247,0.88889,0.46358,0.30298,0.8182,0.009604,0.009604,0.009604
8,29594.8,0.52553,0.48048,0.8319,0.94786,0.99013,0.98086,0.90558,0.40909,0.28716,0.80748,0.009538,0.009538,0.009538
9,32812.2,0.51197,0.45946,0.82974,0.96084,0.98302,0.98513,0.91172,0.40287,0.2734,0.80751,0.009472,0.009472,0.009472
10,36177.6,0.50146,0.44099,0.82637,0.96327,0.98236,0.9852,0.91698,0.38917,0.2616,0.80582,0.009406,0.009406,0.009406
11,39673.4,0.4905,0.42677,0.82419,0.95759,0.98265,0.98403,0.91727,0.38303,0.26238,0.80181,0.00934,0.00934,0.00934
12,42966.4,0.48139,0.41786,0.82241,0.95769,0.98566,0.98315,0.91624,0.38443,0.25374,0.80143,0.009274,0.009274,0.009274
13,45922.1,0.47537,0.40766,0.8212,0.96395,0.98378,0.98519,0.91388,0.40062,0.25192,0.80405,0.009208,0.009208,0.009208
14,48813.2,0.46762,0.39651,0.8185,0.9678,0.98583,0.98678,0.92603,0.36729,0.23533,0.79912,0.009142,0.009142,0.009142
15,51901.1,0.46207,0.38591,0.81844,0.96591,0.98635,0.98625,0.92617,0.36569,0.23312,0.79785,0.009076,0.009076,0.009076
16,4075.21,0.4565,0.38188,0.81727,0.9661,0.98148,0.98569,0.93141,0.3545,0.2274,0.79601,0.00901,0.00901,0.00901
17,6990.08,0.45267,0.37463,0.81483,0.96499,0.98677,0.98631,0.93387,0.35165,0.22444,0.79512,0.008944,0.008944,0.008944
18,9772.87,0.44753,0.3689,0.81513,0.96236,0.98912,0.9857,0.9324,0.35529,0.22336,0.79554,0.008878,0.008878,0.008878
19,12136.3,0.44321,0.36431,0.8135,0.96318,0.98967,0.98604,0.93326,0.35678,0.21927,0.79503,0.008812,0.008812,0.008812
20,3754.57,0.43038,0.34406,0.81188,0.97526,0.97731,0.98679,0.93766,0.34406,0.21533,0.79321,0.008746,0.008746,0.008746
21,6629.15,0.42524,0.34009,0.80957,0.96748,0.98933,0.98803,0.94034,0.3381,0.20801,0.79166,0.00868,0.00868,0.00868
22,9334.83,0.42246,0.33831,0.81005,0.96429,0.99087,0.98627,0.93893,0.33963,0.20967,0.79174,0.008614,0.008614,0.008614
23,11676.8,0.41975,0.33371,0.80844,0.96927,0.98369,0.98657,0.94111,0.33579,0.2085,0.79121,0.008548,0.008548,0.008548
24,13669.7,0.42885,0.34733,0.81145,0.96475,0.98968,0.98633,0.94086,0.33932,0.20722,0.79147,0.008482,0.008482,0.008482
25,15744,0.42505,0.34138,0.8096,0.97535,0.98735,0.98935,0.94494,0.33529,0.19696,0.79086,0.008416,0.008416,0.008416
26,18027,0.42433,0.33988,0.81116,0.97505,0.98891,0.98962,0.94432,0.33379,0.19649,0.79082,0.00835,0.00835,0.00835
27,3719.85,0.40849,0.31737,0.80764,0.9721,0.98714,0.98816,0.94579,0.32663,0.19689,0.7895,0.008284,0.008284,0.008284
28,6425.2,0.40569,0.31328,0.80571,0.9765,0.9856,0.98904,0.94874,0.32508,0.19103,0.78873,0.008218,0.008218,0.008218
29,9136.4,0.40259,0.31275,0.80607,0.97052,0.98914,0.98751,0.94797,0.32316,0.19433,0.7884,0.008152,0.008152,0.008152
30,11341.6,0.40107,0.30731,0.80493,0.97064,0.98347,0.98739,0.94761,0.3272,0.20103,0.79128,0.008086,0.008086,0.008086
31,3617.84,0.39089,0.29409,0.80422,0.97513,0.98744,0.98909,0.95009,0.32212,0.18716,0.78831,0.00802,0.00802,0.00802
32,6328.37,0.39004,0.29297,0.80269,0.97822,0.98562,0.9895,0.95148,0.32037,0.18574,0.78804,0.007954,0.007954,0.007954
33,8975.93,0.3876,0.29075,0.80335,0.97653,0.98519,0.98877,0.9511,0.31851,0.18651,0.78768,0.007888,0.007888,0.007888
